Chainage(km),IRI Average (m/km),Rut Lane (mm),Alligator Cracks Extent,Ravelling Extent,Deflection in  microns D(1) at (0),Deflection in  microns D(2) at (200),Deflection in  microns D(3) at (300),Deflection in  microns D(4) at 450),Deflection in  microns D(5) at (600),Deflection in  microns D(6) at (900),Deflection in  microns D(7) at (1200),Deflection in  microns D(8) at (1500),Deflection in  microns D(9) at (1800),Load kPa,Load kN,Temp,Cluster,Optimized_Cluster,Section_Start,Section_End
170.88,4.79,8.13,0,0,362.9304509377794,294.2357411877944,254.2859474222727,198.8566474118447,156.9637790628428,100.7895286341029,70.70232987569626,55.8119078259984,47.53357782067688,572.9814814814814,40,35,2,2,True,False
171.0,4.56,6.51,0,0,461.461595824012,379.9304001988566,331.2105393984589,263.5993040019886,206.9251802137708,130.365398956003,87.6112353964703,66.75453867197214,56.80676448644616,604.0,40,35,2,2,False,False
171.3,3.52,6.02,0,0,538.6086110435417,440.3356847482364,384.8747263439553,304.1157869131598,240.8708343468742,154.2738992945755,103.6779372415471,80.32595475553393,62.81196789102408,582.0,40,35,2,2,False,False
171.61,4.76,4.51,0,8,468.7853744052091,364.603055346857,307.5031304783371,229.366391184573,175.2717255196594,106.1507638367142,71.08940646130729,54.05960430753819,46.04557976458803,588.0,40,35,2,2,False,False
171.91,4.91,4.59,0,7,379.9202392821535,297.1684945164507,248.3150548354935,186.8331668331668,148.8711288711289,98.92107892107892,71.94805194805195,58.96103896103896,49.97002997002997,569.0,40,35,2,2,False,False
172.21,3.58,6.6,0,0,313.2728647014362,252.8701485385721,220.2874940105415,173.3301389554384,136.9142309535218,85.16530905606133,58.33253473885961,49.98500749625187,44.98750624687656,591.0,40,35,2,2,False,False
172.51,4.59,4.59,0,2,421.6987259555333,337.7616787409443,285.8006495128653,213.8546090432176,159.8950786909818,102.4230387288977,72.63157894736841,57.73584905660378,55.74975173783515,603.0,40,35,2,2,False,True
172.81,4.3,4.97,18,2,536.7037861915368,429.7995545657016,360.5097748082158,254.5953971789161,186.2954714179659,118.3688833124216,82.23337515683815,64.16562107904642,57.13927227101631,585.0,40,35,0,0,True,True
173.11,4.94,5.29,63,3,426.3612627581296,346.6081177308331,289.6415855684785,200.3980851599899,156.0544217687075,100.6248425296044,73.41395817586294,60.31242126480222,51.24212648022172,596.0,40,35,4,4,True,True
173.41,4.0,6.75,70,3,421.6334374249339,338.0398750900792,280.3891424453519,194.8738890223397,140.1056930098487,87.87878787878788,64.60606060606061,51.03030303030303,45.97402597402598,589.0,40,35,9,9,True,False
173.71,4.01,9.55,75,0,352.229544889331,277.6212384978861,226.8875901517036,170.8052434456929,129.856429463171,78.84595895616924,60.60425639726375,48.44312135799341,43.75557759048091,571.0,40,35,9,9,False,True
174.01,4.34,10.85,15,0,636.1180124223603,514.8757763975156,417.4844720496894,312.2905791697738,235.730797912006,134.3139448173005,85.59408401690281,63.71986080039772,61.73129505344271,595.0,40,35,0,0,True,True
174.31,4.99,5.98,10,0,657.3645320197044,542.0935960591133,456.3793103448276,319.4334975369458,230.0323544051767,128.4892981582877,83.69089099054256,64.77600796416127,56.81184668989547,597.0,40,35,6,6,True,True
174.61,5.77,6.14,15,4,695.2919708029196,584.3430656934306,459.7688564476886,279.87428429176,195.2340054767239,108.6021906895693,73.75031117749563,57.81802340054767,48.85611152601444,590.0,40,35,0,0,True,False
174.91,5.33,7.82,18,3,362.9980227385072,294.7825012357884,249.3054869006426,192.2658988482724,150.2028042063095,92.1156735102654,63.07210816224337,49.05107661492239,41.24274539490285,585.0,40,35,0,0,False,True
175.21,6.8,15.45,55,3,434.3076548025353,329.9683081423696,271.4602632862018,195.3998049731838,143.717698683569,85.68506414911643,61.47785039941903,50.09651541739785,45.61728395061728,595.0,40,35,8,8,True,True
175.51,8.0,15.81,25,3,490.5244755244755,397.6173826173826,338.6763236763237,256.7582417582418,194.8201798201798,118.9480259870065,80.96701649175412,60.97701149425287,49.96503496503497,590.0,40,35,7,7,True,True
175.81,6.18,13.51,80,0,536.3570905540639,461.1801318037589,399.6717110080547,302.0392970466195,233.6966072736149,136.0641933121797,86.2716621918477,65.7688552599463,53.07664144495973,588.0,40,35,11,11,True,True
176.11,5.45,24.66,95,0,517.6582890285162,418.093281778637,340.4466441332689,237.0555138784696,186.0427606901725,110.0237559389847,71.01400350087522,52.00925231307827,44.00725181295324,586.0,40,35,10,10,True,True
176.41,4.93,5.89,15,2,561.6970387243736,445.2708175145533,371.3654770944065,276.1996962794229,200.2695520121488,111.1781827385472,73.71931156669197,55.4960769425462,51.25954198473282,594.0,40,35,0,0,True,True
176.71,3.12,6.6,10,2,593.3955132894416,480.25237746891,394.4196537429895,266.6459400146306,180.8132162887101,110.4511558538404,71.67412378821776,53.04755944931163,47.04005006257822,580.0,40,35,6,6,True,True
177.01,10.51,13.32,70,0,513.6634264884569,404.7934386391252,328.0012150668287,229.823815309842,179.5760160561967,103.3090817862519,68.18615153035626,52.29146221786065,49.11941796287005,582.0,40,35,1,1,True,True
